AgtId,Agt,PP,PPName,PAX_Hyperlink,PDF_Hyperlink,PAX_Local_Hyperlink,local_search
2013,"Joint declaration of the representatives of Touareg and Tebou tribes in 4 points supporting the Presidency Council of the Government of National Agreement which recently took office in Tripoli
",70,Libyan peace process,https://www.peaceagreements.org/view/2013,https://www.peaceagreements.org/viewmasterdocument/2013,https://www.peaceagreements.org/lview/2013,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=70&LocalSearchForm%5Bversion%5D=&s=Search+Database
1566,Humanitarian Appeal for Benghazi,72,Libyan local processes,https://www.peaceagreements.org/view/1566,https://www.peaceagreements.org/viewmasterdocument/1566,https://www.peaceagreements.org/lview/1566,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=72&LocalSearchForm%5Bversion%5D=&s=Search+Database
1956,Draft agreement of Western Tribal elders on the battle of al-Zawiyya,72,Libyan local processes,https://www.peaceagreements.org/view/1956,https://www.peaceagreements.org/viewmasterdocument/1956,https://www.peaceagreements.org/lview/1956,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=72&LocalSearchForm%5Bversion%5D=&s=Search+Database
1512,Minutes of the Disengagement Agreement and Truce between the areas of Warshafānah and al-Zāwiyyah ,72,Libyan local processes,https://www.peaceagreements.org/view/1512,https://www.peaceagreements.org/viewmasterdocument/1512,https://www.peaceagreements.org/lview/1512,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=72&LocalSearchForm%5Bversion%5D=&s=Search+Database
2219,Pledge of Agreement and Peaceful Coexistence Between Zintan and Zuwara,72,Libyan local processes,https://www.peaceagreements.org/view/2219,https://www.peaceagreements.org/viewmasterdocument/2219,https://www.peaceagreements.org/lview/2219,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=72&LocalSearchForm%5Bversion%5D=&s=Search+Database
2220,"Agreement to stop the bloodshed and open the door to dialogue in the Western Region
",72,Libyan local processes,https://www.peaceagreements.org/view/2220,https://www.peaceagreements.org/viewmasterdocument/2220,https://www.peaceagreements.org/lview/2220,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=72&LocalSearchForm%5Bversion%5D=&s=Search+Database
1892,"Statement by the Martyrs Brigade in Zawiyat al-Mahjoub regarding the ceasefire agreement in Aziziyyah and the latest developments in and near Tripoli
",72,Libyan local processes,https://www.peaceagreements.org/view/1892,https://www.peaceagreements.org/viewmasterdocument/1892,https://www.peaceagreements.org/lview/1892,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=72&LocalSearchForm%5Bversion%5D=&s=Search+Database
2076,Final Communique: Comprehensive Dialogue for Calm and Peace in the Nafusa Mountains,72,Libyan local processes,https://www.peaceagreements.org/view/2076,https://www.peaceagreements.org/viewmasterdocument/2076,https://www.peaceagreements.org/lview/2076,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=72&LocalSearchForm%5Bversion%5D=&s=Search+Database
2381,"Agreement between the Dogon, Dafing and Fulani communities in the communes of Diallassagou, Koulogon Habe, Lassagou Habe, Segue, Soubala, Sokoura and Tori",153,Mali Local Processes,https://www.peaceagreements.org/view/2381,https://www.peaceagreements.org/viewmasterdocument/2381,https://www.peaceagreements.org/lview/2381,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2367,Peace Agreement between the Dogon & Peulh communities of Madougou and Barapirely,153,Mali Local Processes,https://www.peaceagreements.org/view/2367,https://www.peaceagreements.org/viewmasterdocument/2367,https://www.peaceagreements.org/lview/2367,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
